ant,cond,before,mirror
1,Trained_side_Realease_route,-87.8267581374982,-48.6916393304089
2,Trained_side_Realease_route,-93.7563800904977,42.2220229086802
3,Trained_side_Realease_route,-214.364945263465,44.0168511704015
4,Trained_side_Realease_route,-154.659384031528,143.893972451198
5,Trained_side_Realease_route,-213.457772587943,60.9916992525102
6,Trained_side_Realease_route,-75.5432491607064,114.527591054706
7,Trained_side_Realease_unfam,100.570684571595,-92.0775107744547
8,Trained_side_Realease_unfam,-108.401564735075,8.2810384961089
9,Trained_side_Realease_unfam,107.537795942198,0.28250966051825
10,Trained_side_Realease_unfam,248.774660633484,54.0801688574084
11,Trained_side_Realease_unfam,-70.5768150634943,25.1383816423265
12,Trained_side_Realease_unfam,134.926066267698,-178.168388786885
13,Trained_side_Realease_unfam,-68.4801868340388,43.4252817491108
14,Trained_side_Realease_unfam,111.130124069479,23.1331230938242
15,Trained_side_Realease_unfam,2.97206247263177,-137.319815009718
16,Trained_side_Realease_unfam,59.8668807473362,-99.4626908096398
17,Trained_side_Realease_unfam,124.192590862648,72.2292366077945
18,Trained_side_Realease_unfam,140.25633630127,129.038880224938
19,Trained_straight_Realease_route,-10.1835177346373,45.8034862371225
20,Trained_straight_Realease_route,86.1245482411327,-157.739331177162
21,Trained_straight_Realease_route,-41.9925733469567,-47.1568153707872
22,Trained_straight_Realease_route,116.966737702525,-120.109127365194
23,Trained_straight_Realease_route,13.9094205225515,-21.8437838502254
24,Trained_straight_Realease_route,217.527333236024,-82.3485584125253
25,Trained_straight_Realease_route,183.643088600204,-91.1894306632148
26,Trained_straight_Realease_route,170.560023354255,-40.8668269710914
27,Trained_straight_Realease_route,-137.665765581667,82.649943534943
28,Trained_straight_Realease_route,97.917372646329,-25.4577088246817
29,Trained_straight_Realease_route,124.220020434973,-26.4409959360524
30,Trained_straight_Realease_route,170.647882061013,107.92823176025
